ID,Department,Year_worked,Senority (1-3),Mentorship (0-1),Lenses (0-1),Age ,Gender (0-1),Hobbies (0-6)
a1,0,25,2,N/A,1,63,0,0
a2,0,7,1,N/A,0,40,1,3
a3,0,8,1,N/A,1,42,1,0
a4,0,9,1,N/A,0,46,0,4
a5,1,7,1,0,1,38,1,2
a6,1,5,0,0,0,36,0,2
a7,1,6,1,0,1,40,1,5
a8,1,3,0,0,1,29,1,5
a9,1,4,0,0,0,32,0,2
a10,2,8,1,0,1,40,1,1
a11,2,7,1,0,1,32,1,4
a12,2,5,0,0,0,34,0,4
a13,2,6,1,0,1,41,0,2
a14,2,3,0,0,1,29,0,4
a15,2,2,0,0,1,26,0,1
a16,2,2,0,0,1,27,1,6
a17,2,4,0,0,1,32,0,4
a18,2,3,0,0,0,30,1,2
a19,2,1,0,0,0,23,0,3
a20,2,3,0,0,1,25,0,2
a21,5,7,1,0,1,54,0,5
a22,5,4,0,0,1,34,1,5
a23,5,10,2,1,1,57,0,6
a24,5,5,0,0,0,35,1,3
a25,5,1,0,0,0,58,0,6
a26,5,2,0,0,1,29,0,6
a27,5,1,0,0,1,44,1,0
a28,5,2,0,0,1,47,0,6
a29,5,11,2,1,1,24,1,3
a30,6,5,0,0,0,58,0,2
a31,6,2,0,0,0,26,1,6
a32,5,8,1,0,1,42,1,3
a33,6,3,0,0,1,33,0,6
a34,6,5,0,N/A,1,58,1,0
a35,6,17,2,1,1,60,1,2
a36,6,15,2,0,0,46,0,2
a37,6,5,0,0,0,30,1,0
a38,6,15,2,1,1,40,0,5
a39,6,11,2,N/A,1,27,0,4
a40,5,1,0,0,1,21,1,6
a41,3,1,0,0,0,30,0,6
a42,3,5,0,0,1,42,1,0
a43,3,2,0,0,1,29,0,1
a44,3,4,0,N/A,1,34,0,5
a45,3,11,2,N/A,0,45,1,2
a46,3,4,0,,1,27,0,1
a47,3,8,1,0,0,39,0,6
a48,3,6,1,N/A,1,32,0,2
a49,3,13,2,N/A,1,48,0,6
a50,3,7,1,0,1,29,0,6
a51,3,3,0,0,0,33,1,6
a52,3,9,1,0,1,46,1,6
a53,3,15,2,1,1,53,0,1
a54,3,19,2,N/A,1,59,0,6
a55,3,5,0,0,0,36,0,6
a56,4,7,1,0,0,44,0,3
a57,4,2,0,0,0,40,1,1
a58,4,8,1,0,1,36,0,0
a59,4,4,0,0,1,29,0,3
a60,4,8,1,0,0,34,0,6
a61,4,1,0,0,0,23,0,4
a62,4,5,0,0,1,36,1,2
a63,4,10,2,N/A,0,43,0,3
a64,4,2,0,0,0,32,1,6
a65,4,10,2,N/A,1,48,0,0
a66,4,7,1,0,1,39,1,6
a67,4,9,1,0,0,41,0,3
a68,4,13,2,1,0,40,1,3
a69,4,10,2,N/A,0,39,1,6
a70,4,11,2,N/A,1,44,0,5